Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-6175,2923,"0x0B6B",1,-6175.363,0.363,-6174.609,-0.391
-6174,2924,"0x0B6C",1,-6174.191,0.191,-6173.438,-0.563
-6173,2925,"0x0B6D",1,-6173.019,0.019,-6172.266,-0.734
-6172,2926,"0x0B6E",1,-6171.847,-0.153,-6171.094,-0.906
-6171,2927,"0x0B6F",1,-6170.675,-0.325,-6169.922,-1.078
-6170,2927,"0x0B6F",0,-6170.675,0.675,-6169.922,-0.078
-6169,2928,"0x0B70",1,-6169.503,0.503,-6168.750,-0.250
-6168,2929,"0x0B71",1,-6168.331,0.331,-6167.578,-0.422
-6167,2930,"0x0B72",1,-6167.159,0.159,-6166.406,-0.594
-6166,2931,"0x0B73",1,-6165.987,-0.013,-6165.234,-0.766
-6165,2932,"0x0B74",1,-6164.815,-0.185,-6164.063,-0.938
-6164,2933,"0x0B75",1,-6163.643,-0.357,-6162.891,-1.109
-6163,2933,"0x0B75",0,-6163.643,0.643,-6162.891,-0.109
-6162,2934,"0x0B76",1,-6162.471,0.471,-6161.719,-0.281
-6161,2935,"0x0B77",1,-6161.299,0.299,-6160.547,-0.453
-6160,2936,"0x0B78",1,-6160.127,0.127,-6159.375,-0.625
-6159,2937,"0x0B79",1,-6158.955,-0.045,-6158.203,-0.797
-6158,2938,"0x0B7A",1,-6157.783,-0.217,-6157.031,-0.969
-6157,2939,"0x0B7B",1,-6156.611,-0.389,-6155.859,-1.141
-6156,2939,"0x0B7B",0,-6156.611,0.611,-6155.859,-0.141
-6155,2940,"0x0B7C",1,-6155.439,0.439,-6154.688,-0.313
-6154,2941,"0x0B7D",1,-6154.267,0.267,-6153.516,-0.484
-6153,2942,"0x0B7E",1,-6153.095,0.095,-6152.344,-0.656
-6152,2943,"0x0B7F",1,-6151.923,-0.077,-6151.172,-0.828
-6151,2944,"0x0B80",1,-6150.751,-0.249,-6150.000,-1.000
-6150,2944,"0x0B80",0,-6150.751,0.751,-6150.000,0.000
-6149,2945,"0x0B81",1,-6149.579,0.579,-6148.828,-0.172
-6148,2946,"0x0B82",1,-6148.407,0.407,-6147.656,-0.344
-6147,2947,"0x0B83",1,-6147.235,0.235,-6146.484,-0.516
-6146,2948,"0x0B84",1,-6146.063,0.063,-6145.313,-0.688
-6145,2949,"0x0B85",1,-6144.891,-0.109,-6144.141,-0.859
-6144,2950,"0x0B86",1,-6143.719,-0.281,-6142.969,-1.031
-6143,2950,"0x0B86",0,-6143.719,0.719,-6142.969,-0.031
-6142,2951,"0x0B87",1,-6142.547,0.547,-6141.797,-0.203
-6141,2952,"0x0B88",1,-6141.375,0.375,-6140.625,-0.375
-6140,2953,"0x0B89",1,-6140.203,0.203,-6139.453,-0.547
-6139,2954,"0x0B8A",1,-6139.031,0.031,-6138.281,-0.719
-6138,2955,"0x0B8B",1,-6137.859,-0.141,-6137.109,-0.891
-6137,2956,"0x0B8C",1,-6136.687,-0.313,-6135.938,-1.063
-6136,2956,"0x0B8C",0,-6136.687,0.687,-6135.938,-0.063
-6135,2957,"0x0B8D",1,-6135.515,0.515,-6134.766,-0.234
-6134,2958,"0x0B8E",1,-6134.343,0.343,-6133.594,-0.406
